service_id,date,exception_type
BEI A AND B BLV Domingos,20260614,1
BEI A AND B BLV Domingos,20260621,1
BEI A AND B BLV Domingos,20260628,1
BEI A AND B BLV Domingos,20260705,1
BEI A AND B BLV Domingos,20260712,1
BEI A AND B BLV Sabados,20260620,1
BEI A AND B BLV Sabados,20260627,1
BEI A AND B BLV Sabados,20260704,1
BEI A AND B BLV Sabados,20260711,1
BEI A BLV Laborables,20260615,1
BEI A BLV Laborables,20260616,1
BEI A BLV Laborables,20260617,1
BEI A BLV Laborables,20260618,1
BEI A BLV Laborables,20260619,1
BEI A BLV Laborables,20260622,1
BEI A BLV Laborables,20260623,1
BEI A BLV Laborables,20260624,1
BEI A BLV Laborables,20260625,1
BEI A BLV Laborables,20260626,1
BEI A BLV Laborables,20260629,1
BEI A BLV Laborables,20260630,1
BEI A BLV Laborables,20260701,1
BEI A BLV Laborables,20260702,1
BEI A BLV Laborables,20260703,1
BEI A BLV Laborables,20260706,1
BEI A BLV Laborables,20260707,1
BEI A BLV Laborables,20260708,1
BEI A BLV Laborables,20260709,1
BEI A BLV Laborables,20260710,1
BEI A BLV Laborables,20260713,1
BEI A BLV Laborables,20260714,1
BEI A BLV Laborables,20260715,1
BEI B BLV Laborables,20260615,1
BEI B BLV Laborables,20260616,1
BEI B BLV Laborables,20260617,1
BEI B BLV Laborables,20260618,1
BEI B BLV Laborables,20260619,1
BEI B BLV Laborables,20260622,1
BEI B BLV Laborables,20260623,1
BEI B BLV Laborables,20260624,1
BEI B BLV Laborables,20260625,1
BEI B BLV Laborables,20260626,1
BEI B BLV Laborables,20260629,1
BEI B BLV Laborables,20260630,1
BEI B BLV Laborables,20260701,1
BEI B BLV Laborables,20260702,1
BEI B BLV Laborables,20260703,1
BEI B BLV Laborables,20260706,1
BEI B BLV Laborables,20260707,1
BEI B BLV Laborables,20260708,1
BEI B BLV Laborables,20260709,1
BEI B BLV Laborables,20260710,1
BEI B BLV Laborables,20260713,1
BEI B BLV Laborables,20260714,1
BEI B BLV Laborables,20260715,1
CementerioDomingo - verano,20260614,1
CementerioDomingo - verano,20260621,1
CementerioDomingo - verano,20260628,1
CementerioDomingo - verano,20260705,1
CementerioDomingo - verano,20260712,1
CementerioMiercoles,20260617,1
CementerioMiercoles,20260624,1
CementerioMiercoles,20260701,1
CementerioMiercoles,20260708,1
CementerioMiercoles,20260715,1
CementerioSabado,20260620,1
CementerioSabado,20260627,1
CementerioSabado,20260704,1
CementerioSabado,20260711,1
Domingos,20260614,1
Domingos,20260621,1
Domingos,20260628,1
Domingos,20260705,1
Domingos,20260712,1
Gautxori,20260619,1
Gautxori,20260620,1
Gautxori,20260626,1
Gautxori,20260627,1
Gautxori,20260703,1
Gautxori,20260704,1
Gautxori,20260710,1
Laborables,20260615,1
Laborables,20260616,1
Laborables,20260617,1
Laborables,20260618,1
Laborables,20260619,1
Laborables,20260622,1
Laborables,20260623,1
Laborables,20260624,1
Laborables,20260625,1
Laborables,20260626,1
Laborables,20260629,1
Laborables,20260630,1
Laborables,20260701,1
Laborables,20260702,1
Laborables,20260703,1
Laborables,20260706,1
Laborables,20260707,1
Laborables,20260708,1
Laborables,20260709,1
Laborables,20260710,1
Laborables,20260713,1
Laborables,20260714,1
Laborables,20260715,1
Sabados,20260620,1
Sabados,20260627,1
Sabados,20260704,1
Sabados,20260711,1
UNDEFINED_2026-06-14,20260614,1
